financing_theme,uhc_outcome,signal_class,cooccurrence_events
Purchasing/provider payment,Coverage/entitlement,Challenge only,41
Purchasing/provider payment,Coverage/entitlement,Both,20
Purchasing/provider payment,Access/utilization,Potential only,7
Purchasing/provider payment,Access/utilization,Challenge only,18
Purchasing/provider payment,Access/utilization,Both,18
Purchasing/provider payment,Financial protection,Potential only,3
Purchasing/provider payment,Financial protection,Challenge only,18
Purchasing/provider payment,Financial protection,Both,15
Purchasing/provider payment,Equity,Potential only,6
Purchasing/provider payment,Equity,Challenge only,30
Purchasing/provider payment,Equity,Both,15
Purchasing/provider payment,Efficiency/value,Potential only,8
Purchasing/provider payment,Efficiency/value,Challenge only,30
Purchasing/provider payment,Efficiency/value,Both,8
Purchasing/provider payment,Quality,Potential only,1
Purchasing/provider payment,Quality,Challenge only,7
Purchasing/provider payment,Quality,Both,7
Purchasing/provider payment,Fiscal sustainability/resources,Challenge only,7
Purchasing/provider payment,Fiscal sustainability/resources,Both,7
Purchasing/provider payment,Pooling/fragmentation,Potential only,2
Purchasing/provider payment,Pooling/fragmentation,Challenge only,26
Purchasing/provider payment,Pooling/fragmentation,Both,6
Purchasing/provider payment,Governance/implementation,Potential only,7
Purchasing/provider payment,Governance/implementation,Challenge only,36
Purchasing/provider payment,Governance/implementation,Both,13
Revenue/public financing,Coverage/entitlement,Potential only,15
Revenue/public financing,Coverage/entitlement,Challenge only,46
Revenue/public financing,Coverage/entitlement,Both,15
Revenue/public financing,Access/utilization,Potential only,17
Revenue/public financing,Access/utilization,Challenge only,38
Revenue/public financing,Access/utilization,Both,15
Revenue/public financing,Financial protection,Potential only,9
Revenue/public financing,Financial protection,Challenge only,56
Revenue/public financing,Financial protection,Both,20
Revenue/public financing,Equity,Potential only,8
Revenue/public financing,Equity,Challenge only,46
Revenue/public financing,Equity,Both,10
Revenue/public financing,Efficiency/value,Potential only,8
Revenue/public financing,Efficiency/value,Challenge only,18
Revenue/public financing,Efficiency/value,Both,6
Revenue/public financing,Quality,Potential only,1
Revenue/public financing,Quality,Challenge only,4
Revenue/public financing,Quality,Both,2
Revenue/public financing,Fiscal sustainability/resources,Potential only,13
Revenue/public financing,Fiscal sustainability/resources,Challenge only,53
Revenue/public financing,Fiscal sustainability/resources,Both,9
Revenue/public financing,Pooling/fragmentation,Potential only,3
Revenue/public financing,Pooling/fragmentation,Challenge only,4
Revenue/public financing,Pooling/fragmentation,Both,3
Revenue/public financing,Governance/implementation,Potential only,3
Revenue/public financing,Governance/implementation,Challenge only,26
Revenue/public financing,Governance/implementation,Both,6
User fees/cost sharing,Coverage/entitlement,Potential only,10
User fees/cost sharing,Coverage/entitlement,Challenge only,79
User fees/cost sharing,Coverage/entitlement,Both,46
User fees/cost sharing,Access/utilization,Potential only,15
User fees/cost sharing,Access/utilization,Challenge only,164
User fees/cost sharing,Access/utilization,Both,85
User fees/cost sharing,Financial protection,Potential only,6
User fees/cost sharing,Financial protection,Challenge only,68
User fees/cost sharing,Financial protection,Both,52
User fees/cost sharing,Equity,Potential only,4
User fees/cost sharing,Equity,Challenge only,92
User fees/cost sharing,Equity,Both,41
User fees/cost sharing,Efficiency/value,Potential only,5
User fees/cost sharing,Efficiency/value,Challenge only,21
User fees/cost sharing,Efficiency/value,Both,15
User fees/cost sharing,Quality,Potential only,4
User fees/cost sharing,Quality,Challenge only,41
User fees/cost sharing,Quality,Both,18
User fees/cost sharing,Fiscal sustainability/resources,Potential only,1
User fees/cost sharing,Fiscal sustainability/resources,Challenge only,14
User fees/cost sharing,Fiscal sustainability/resources,Both,7
User fees/cost sharing,Pooling/fragmentation,Potential only,6
User fees/cost sharing,Pooling/fragmentation,Challenge only,17
User fees/cost sharing,Pooling/fragmentation,Both,10
User fees/cost sharing,Governance/implementation,Potential only,7
User fees/cost sharing,Governance/implementation,Challenge only,74
User fees/cost sharing,Governance/implementation,Both,40
Willingness to pay,Coverage/entitlement,Potential only,11
Willingness to pay,Coverage/entitlement,Challenge only,32
Willingness to pay,Coverage/entitlement,Both,9
Willingness to pay,Access/utilization,Potential only,10
Willingness to pay,Access/utilization,Challenge only,19
Willingness to pay,Access/utilization,Both,10
Willingness to pay,Financial protection,Potential only,14
Willingness to pay,Financial protection,Challenge only,27
Willingness to pay,Financial protection,Both,10
Willingness to pay,Equity,Potential only,3
Willingness to pay,Equity,Challenge only,8
Willingness to pay,Equity,Both,5
Willingness to pay,Efficiency/value,Potential only,1
Willingness to pay,Efficiency/value,Challenge only,3
Willingness to pay,Efficiency/value,Both,1
Willingness to pay,Quality,Challenge only,3
Willingness to pay,Quality,Both,2
Willingness to pay,Fiscal sustainability/resources,Challenge only,2
Willingness to pay,Fiscal sustainability/resources,Both,4
Willingness to pay,Pooling/fragmentation,Potential only,7
Willingness to pay,Pooling/fragmentation,Challenge only,6
Willingness to pay,Pooling/fragmentation,Both,4
Willingness to pay,Governance/implementation,Potential only,6
Willingness to pay,Governance/implementation,Challenge only,8
Willingness to pay,Governance/implementation,Both,4
