journal,publications,citations,mean_citations,mean_fwci,cum,zone
South Eastern European Journal of Public Health,8,3,0.375,0.2817375,2305,2
International journal of research and scientific innovation,8,1,0.125,0.0818125,2313,2
PLoS Medicine,7,374,53.42857142857143,6.4734,2320,2
The European Journal of Health Economics,7,311,44.42857142857143,4.263757142857143,2327,2
Journal of Public Affairs,7,122,17.428571428571427,3.16,2334,2
Asia Pacific Journal of Health Management,7,33,4.714285714285714,0.8470428571428571,2341,2
Annals of Global Health,7,25,3.5714285714285716,1.0447,2348,2
National Journal of Community Medicine,7,22,3.142857142857143,0.8292428571428572,2355,2
Nigerian Journal of Clinical Practice,6,449,74.83333333333333,5.322633333333333,2361,2
Journal of Health Economics,6,258,43.0,3.6482166666666664,2367,2
Malaria Journal,6,209,34.833333333333336,5.24155,2373,2
Studies on Ethno-Medicine,6,157,26.166666666666668,1.0200333333333333,2379,2
African Development Review,6,145,24.166666666666668,3.1551666666666662,2385,2
Journal of the Egyptian Public Health Association,6,139,23.166666666666668,2.3726333333333334,2391,2
Maternal and Child Health Journal,6,116,19.333333333333332,1.7242666666666666,2397,2
Ethiopian Journal of Health Sciences,6,112,18.666666666666668,1.2729666666666668,2403,2
International Journal of Public Administration,6,104,17.333333333333332,1.0387166666666667,2409,2
Indian Journal of Psychiatry,6,58,9.666666666666666,1.8488666666666667,2415,2
Ghana Journal of Development Studies,6,54,9.0,1.0027666666666668,2421,2
Indian Journal of Medical Ethics,6,24,4.0,0.357,2427,2
Developing Country Studies,6,22,3.6666666666666665,0.7989833333333333,2433,2
Economies,6,7,1.1666666666666667,1.0994166666666667,2439,2
Global Health Economics and Sustainability,6,7,1.1666666666666667,0.7863833333333332,2445,2
International Journal of Medicine and Health Development,6,7,1.1666666666666667,0.205,2451,2
Central African Journal of Public Health,6,2,0.3333333333333333,0.0,2457,2
Journal of the Pakistan Medical Association,6,1,0.16666666666666666,0.0,2463,2
The International Journal of Business & Management,6,1,0.16666666666666666,0.07935,2469,2
Reproductive Health Matters,5,359,71.8,4.43082,2474,2
International Journal of Health Care Finance and Economics,5,311,62.2,3.93484,2479,2
BMC Medicine,5,156,31.2,6.34052,2484,2
Public Health,5,147,29.4,3.40018,2489,2
Implementation Science,5,144,28.8,4.49542,2494,2
The Journal of Development Studies,5,141,28.2,3.06832,2499,2
Global Public Health,5,99,19.8,2.48752,2504,2
Ghana Medical Journal,5,94,18.8,2.21308,2509,2
Wellcome Open Research,5,85,17.0,2.30776,2514,2
Global Health Science and Practice,5,83,16.6,3.6181400000000004,2519,2
Cogent Economics & Finance,5,68,13.6,3.02168,2524,2
American journal of public health research,5,58,11.6,0.7041999999999999,2529,2
Journal of Aging & Social Policy,5,57,11.4,1.1000999999999999,2534,2
Ethiopian Journal of Health Development,5,55,11.0,0.60084,2539,2
Journal of International Development,5,55,11.0,1.5472,2544,2
SAGE Open Medicine,5,50,10.0,1.13072,2549,2
BMC Geriatrics,5,48,9.6,2.23482,2554,2
Journal of Nepal Health Research Council,5,46,9.2,1.0854,2559,2
AFRICAN JOURNAL OF ECONOMIC REVIEW,5,40,8.0,1.5944600000000002,2564,2
IOSR Journal of Humanities and Social Science,5,36,7.2,0.45949999999999996,2569,2
SAGE Open,5,29,5.8,0.22557999999999997,2574,2
Journal of Population and Social Studies,5,25,5.0,0.86952,2579,2
Global Social Welfare,5,24,4.8,2.07496,2584,2
International Journal of Health Governance,5,20,4.0,1.9347,2589,2
Journal of Social and Economic Development,5,20,4.0,1.0368400000000002,2594,2
Journal of Health and Medical Sciences,5,18,3.6,0.5201800000000001,2599,2
Artha Vijnana Journal of The Gokhale Institute of Politics and Economics,5,17,3.4,0.25572,2604,2
Cogent Public Health,5,17,3.4,1.1131,2609,2
Social Sciences & Humanities Open,5,16,3.2,1.36232,2614,2
Gates Open Research,5,13,2.6,0.41062000000000004,2619,2
Indian Journal of Human Development,5,13,2.6,0.34956,2624,2
International Journal of Advanced Research,5,13,2.6,0.5807,2629,2
Asian Journal of Medicine and Health,5,12,2.4,0.1155,2634,2
LSE Research Online Documents on Economics,5,12,2.4,0.9247,2639,2
African Journal of Health Sciences,5,10,2.0,0.0,2644,2
Journal of Economics and Sustainable Development,5,10,2.0,0.47526,2649,2
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH,5,8,1.6,0.18594,2654,2
European Scientific Journal ESJ,5,7,1.4,0.1155,2659,2
MedS Alliance Journal of Medicine and Medical Sciences,5,6,1.2,0.2024,2664,2
Open Journal of Social Sciences,5,6,1.2,0.29447999999999996,2669,2
"13th World Congress on Public Health (April 23-27, 2012)",5,4,0.8,0.07436000000000001,2674,2
The Journal of Community Health Management,5,3,0.6,0.12398,2679,2
International Journal of Professional Practice,5,2,0.4,0.07918,2684,2
International Journal of Research in Business and Social Science (2147-4478),5,2,0.4,0.10742,2689,2
Public Policy and Administration Research,5,1,0.2,0.053720000000000004,2694,2
International Journal of Research Publication and Reviews,5,0,0.0,0.0,2699,2
Journal of Emerging Technologies and Innovative Research,5,0,0.0,0.0,2704,2
World Journal of Public Health,5,0,0.0,0.0,2709,2
International Journal of Innovative Science and Research Technology (IJISRT),4,1548,387.0,201.48930000000001,2713,2
New England Journal of Medicine,4,285,71.25,11.165,2717,2
Journal of Medical Economics,4,281,70.25,11.664075,2721,2
American Journal of Tropical Medicine and Hygiene,4,101,25.25,1.9136,2725,2
Journal of Health Services Research & Policy,4,86,21.5,3.1672000000000002,2729,2
Heliyon,4,72,18.0,2.74145,2733,2
Journal of Patient Experience,4,69,17.25,2.468275,2737,2
African Health Sciences,4,53,13.25,2.0379,2741,2
Expert Review of Pharmacoeconomics & Outcomes Research,4,48,12.0,1.714175,2745,2
Economics bulletin,4,43,10.75,1.1635,2749,2
Public Organization Review,4,43,10.75,1.626025,2753,2
Ageing International,4,39,9.75,1.52555,2757,2
Bangladesh Journal of Medical Science,4,38,9.5,1.087925,2761,2
INQUIRY The Journal of Health Care Organization Provision and Financing,4,38,9.5,2.0631,2765,2
ICUS and Nursing Web Journal,4,33,8.25,1.5342500000000001,2769,2
International Journal of Technology Assessment in Health Care,4,32,8.0,0.39575,2773,2
Journal of Global Health Economics and Policy,4,30,7.5,3.104225,2777,2
International Journal of Social Determinants of Health and Health Services,4,29,7.25,6.596699999999999,2781,2
Journal of Medicine in the Tropics,4,28,7.0,0.878325,2785,2
Journal of Public Health and Epidemiology,4,24,6.0,1.3024250000000002,2789,2
Tanzanian Economic Review,4,23,5.75,1.078925,2793,2
Scientific Reports,4,22,5.5,2.937475,2797,2
Ibom Medical Journal,4,21,5.25,1.6512499999999999,2801,2
Eastern Mediterranean Health Journal,4,18,4.5,0.275225,2805,2
Population Medicine,4,18,4.5,1.0090750000000002,2809,2
Journal of Cancer Policy,4,17,4.25,2.67855,2813,2
Journal of Hospital Administration,4,16,4.0,0.079275,2817,2
International Journal of Research -GRANTHAALAYAH,4,14,3.5,0.20885,2821,2
Sahel Medical Journal,4,14,3.5,0.0,2825,2
OALib,4,11,2.75,0.587375,2829,2
International Journal of Health Care Quality Assurance,4,8,2.0,0.1785,2833,2
Journal of Nepal Medical Association,4,8,2.0,0.33315,2837,2
Strategic Journal of Business & Change Management,4,8,2.0,0.48055,2841,2
International Journal of Economics Development Research (IJEDR),4,6,1.5,0.426175,2845,2
International Journal of Public Health and Clinical Sciences,4,6,1.5,0.170475,2849,2
Journal of Public Administration and Governance,4,6,1.5,0.24507500000000002,2853,2
International Journal of Public Health Science (IJPHS),4,4,1.0,0.0,2857,2
Universal Journal of Public Health,4,3,0.75,0.0,2861,2
International Journal of Scientific and Research Publications,4,2,0.5,0.07815,2865,2
The International Journal of Humanities & Social Studies,4,2,0.5,0.067125,2869,2
EPRA International Journal of Multidisciplinary Research (IJMR),4,1,0.25,0.054625,2873,2
Journal of Economics Finance and Management Studies,4,1,0.25,0.071025,2877,2
NG Journal of Social Development,4,1,0.25,0.160875,2881,2
East African Journal of Health and Science,4,0,0.0,0.0,2885,2
Education Tomorrow,4,0,0.0,0.0,2889,2
INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,4,0,0.0,0.0,2893,2
Indian Journal of Community Health,4,0,0.0,0.0,2897,2
International Journal of Advanced Research in Science Communication and Technology,4,0,0.0,0.0,2901,2
International Journal of Drug Delivery Technology,4,0,0.0,0.0,2905,2
Journal of Advances and Scholarly Researches in Allied Education,4,0,0.0,0.0,2909,2
PARIPEX-INDIAN JOURNAL OF RESEARCH,4,0,0.0,0.0,2913,2
Texila international journal of academic research,4,0,0.0,0.0,2917,2
American Journal of Public Health,3,376,125.33333333333333,6.7922666666666665,2920,2
Health Economics Policy and Law,3,324,108.0,10.209733333333332,2923,2
Journal of Epidemiology & Community Health,3,198,66.0,6.341166666666666,2926,2
International Journal of Health Services,3,163,54.333333333333336,5.0286,2929,2
Journal of African Economies,3,133,44.333333333333336,4.404800000000001,2932,2
The World Bank Economic Review,3,132,44.0,4.2306,2935,2
International Journal of Gynecology & Obstetrics,3,117,39.0,3.4051333333333336,2938,2
Annals of Nigerian Medicine,3,111,37.0,1.6677333333333333,2941,2
Applied Economics,3,106,35.333333333333336,1.0593666666666666,2944,2
Social Indicators Research,3,106,35.333333333333336,1.5509666666666666,2947,2
Journal of Risk & Insurance,3,105,35.0,2.3658333333333332,2950,2
International Journal of Mental Health Systems,3,96,32.0,3.3862666666666663,2953,2
Journal of Environmental and Public Health,3,80,26.666666666666668,2.723466666666667,2956,2
Journal of Pharmaceutical Policy and Practice,3,77,25.666666666666668,5.331666666666666,2959,2
Mediterranean Journal of Social Sciences,3,74,24.666666666666668,2.1239333333333335,2962,2
Social Work in Public Health,3,74,24.666666666666668,1.3663,2965,2
Health & Social Care in the Community,3,66,22.0,2.0911666666666666,2968,2
African Journal of Primary Health Care & Family Medicine,3,62,20.666666666666668,2.0658666666666665,2971,2
Conflict and Health,3,57,19.0,10.0276,2974,2
International Journal of Public Health,3,51,17.0,2.7656000000000005,2977,2
Journal of Health Care for the Poor and Underserved,3,51,17.0,1.8992333333333333,2980,2
BMC Proceedings,3,44,14.666666666666666,0.7138,2983,2
International Journal for Quality in Health Care,3,44,14.666666666666666,1.1627,2986,2
Humanities and Social Sciences Communications,3,42,14.0,1.8549,2989,2
BioMed Research International,3,39,13.0,2.5043333333333333,2992,2
Preventive Medicine Reports,3,39,13.0,3.2931333333333335,2995,2
BMC Family Practice,3,34,11.333333333333334,3.2200333333333333,2998,2
Journal of Hospital Management and Health Policy,3,27,9.0,0.9154,3001,2
IOSR Journal of Economics and Finance,3,26,8.666666666666666,0.17476666666666665,3004,2
Journal of Pharmaceutical Health Services Research,3,26,8.666666666666666,1.3772000000000002,3007,2
Sustainability,3,26,8.666666666666666,3.3788000000000005,3010,2
Future Business Journal,3,24,8.0,2.5234,3013,2
Journal of Health Organization and Management,3,24,8.0,2.8442666666666665,3016,2
The National Medical Journal of India,3,23,7.666666666666667,0.8216333333333333,3019,2
Research on humanities and social sciences,3,21,7.0,1.5881,3022,2
Business and Economic Research,3,19,6.333333333333333,0.4963666666666667,3025,2
Journal of Advances in Medical and Pharmaceutical Sciences,3,19,6.333333333333333,1.4330666666666667,3028,2
JAMA,3,17,5.666666666666667,0.2723,3031,2
East African Medical Journal,3,16,5.333333333333333,1.0034666666666667,3034,2
"Journal of Health, Medicine and Nursing",3,16,5.333333333333333,0.6220666666666667,3037,2
Sustainable Development,3,15,5.0,3.9122333333333335,3040,2
The Lancet Psychiatry,3,15,5.0,0.8569333333333334,3043,2
Journal of Community Medicine & Health Education,3,13,4.333333333333333,0.5017999999999999,3046,2
Journal of Racial and Ethnic Health Disparities,3,13,4.333333333333333,0.8589333333333333,3049,2
Journal of Global Health Science,3,11,3.6666666666666665,1.0132,3052,2
GSTF Journal of Nursing and Health Care,3,10,3.3333333333333335,0.30532514,3055,2
Nigerian Journal of Medicine,3,10,3.3333333333333335,0.5487333333333333,3058,2
Asian Journal of Advanced Research and Reports,3,9,3.0,0.38456666666666667,3061,2
Indian Journal of Medical Specialities,3,9,3.0,0.39303333333333335,3064,2
Journal of Indian Association of Public Health Dentistry,3,9,3.0,0.5102666666666666,3067,2
Management in Health,3,9,3.0,0.2526333333333333,3070,2
International Journal of Recent Technology and Engineering (IJRTE),3,8,2.6666666666666665,0.09756666666666668,3073,2
MGM Journal of Medical Sciences,3,8,2.6666666666666665,0.4996333333333333,3076,2
Tanzania Journal for Population studies and Development,3,8,2.6666666666666665,0.30806666666666666,3079,2
Open Research Africa,3,7,2.3333333333333335,0.8301666666666666,3082,2
Biomedical Journal of Scientific & Technical Research,3,6,2.0,0.12733333333333333,3085,2
Journal of Business and Strategic Management,3,6,2.0,0.3492,3088,2
International Journal of Health Sciences,3,5,1.6666666666666667,0.4207,3091,2
Médecine et Santé Tropicales,3,5,1.6666666666666667,0.4449,3094,2
The Pakistan Development Review,3,5,1.6666666666666667,0.22053333333333333,3097,2
African Journal of Reproductive Health,3,4,1.3333333333333333,1.6334,3100,2
Indian Journal Of Applied Research,3,4,1.3333333333333333,0.161,3103,2
Tropical Medicine and Health,3,4,1.3333333333333333,2.8282333333333334,3106,2
Asian Journal of Management,3,3,1.0,0.0769,3109,2
Journal of Economics Management and Trade,3,3,1.0,0.14193333333333333,3112,2
Journal of Quantitative Economics,3,3,1.0,0.40673333333333334,3115,2
European Journal of Health Sciences,3,2,0.6666666666666666,0.15106666666666665,3118,2
International Journal of Accounting and Economics Studies,3,2,0.6666666666666666,0.786,3121,2
International Journal of Innovative Research and Development,3,2,0.6666666666666666,0.0,3124,2
International Journal of Public Health and Pharmacology,3,2,0.6666666666666666,0.2081333333333333,3127,2
Journal of ICT Systems,3,2,0.6666666666666666,0.28513333333333335,3130,2
American Journal of Biomedical Science & Research,3,1,0.3333333333333333,0.07356666666666667,3133,2
International Journal of Behavioural and Healthcare Research,3,1,0.3333333333333333,0.0,3136,2
International Journal of Business Management Entrepreneurship and Innovation,3,1,0.3333333333333333,0.8245,3139,2
International Journal of Infectious Diseases,3,1,0.3333333333333333,0.31726666666666664,3142,2
International Journal of Research and Review,3,1,0.3333333333333333,0.06886666666666667,3145,2
Journal of Economic Research & Reviews,3,1,0.3333333333333333,0.09263333333333333,3148,2
Journal of Economics and Policy Analysis,3,1,0.3333333333333333,0.0,3151,2
Journal of the Association for Information Systems,3,1,0.3333333333333333,0.04563333333333333,3154,2
Student s Journal of Health Research Africa,3,1,0.3333333333333333,0.10396666666666667,3157,2
