period,publications,first_known_n,first_target_share,corr_known_n,corr_target_share,international_collaboration_share
1990-2004,225.0,142.0,0.5140845070422535,93.0,0.43010752688172044,0.19111111111111112
2005-2010,386.0,258.0,0.5503875968992248,150.0,0.43333333333333335,0.2823834196891192
2011-2015,978.0,597.0,0.6298157453936348,403.0,0.5856079404466501,0.29141104294478526
2016-2020,1541.0,1133.0,0.6690203000882613,820.0,0.6024390243902439,0.3127839065541856
2021-2026,2768.0,2323.0,0.7821782178217822,1546.0,0.7522639068564037,0.335621387283237
