author_id,author,publications,corpus_h_index
A5048569511,Felix Asante,8,8
A5048740584,Slim Haddad,8,8
A5050935310,Lorna Guinness,8,8
A5113827004,Marleen Elisabeth Hendriks,8,8
A5003138186,Till Bärnighausen,8,7
A5036931186,Vivekanand Jha,8,7
A5091908644,Kavitha Rajsekar,8,7
A5111912110,Peter Berman,8,7
A5001316765,Joachim von Braun,8,6
A5019117345,Doris Osei Afriyie,8,6
A5035737888,Edmund Wedam Kanmiki,8,6
A5046001169,Bolaji Samson Aregbeshola,8,6
A5061663161,Philipa Mladovsky,8,6
A5085580593,Catherine Korachais,8,6
A5088219447,Mark G. Shrime,8,6
A5108603272,Hyacinth E. Ichoku,8,6
A5012519502,Amani Thomas Mori,8,5
A5023630520,Olanrewaju Olaniyan,8,5
A5058173586,Md. Zahid Hasan,8,5
A5083301968,Christoph Strupat,8,5
A5088925159,Osondu Ogbuoji,8,5
A5102789260,Kennedy A. Alatinga,8,5
A5018573349,Jesper Sundewall,8,4
A5024813529,Amani Anaeli,8,4
A5046656036,Samuel Sekyi,8,4
A5076026273,Erika Binnendijk,8,4
A5089462526,Shyamkumar Sriram,8,4
A5089492084,Lumbwe Chola,8,4
A5002657237,Steffen Fleßa,8,3
A5101725407,Sagarika Kamath,8,3
A5111911769,O. E. Daramola,8,3
A5025213257,Jackline Nyaberi,8,1
A5005629692,Rakhi Dandona,7,7
A5008673461,Indrani Gupta,7,7
A5010586745,Caroline Jehu‐Appiah,7,7
A5021718311,Inke Mathauer,7,7
A5028765281,Maninder Pal Singh,7,7
A5036486151,David H. Peters,7,7
A5045507281,Margaret E. Kruk,7,7
A5060925387,Leticia Ávila‐Burgos,7,7
A5074017588,Hubert Amu,7,7
A5074909254,Rob Baltussen,7,7
A5110494319,Ellen Van de Poel,7,7
A5000096815,Deepak Kumar Behera,7,6
A5004071838,Ramna Thakur,7,6
A5010000917,Sara Bennett,7,6
A5021251058,Adam Fusheini,7,6
A5025407014,Björn Ekman,7,6
A5029353419,Abraham Oduro,7,6
A5032781483,Christine Fenenga,7,6
A5035773489,Emily Gustafsson‐Wright,7,6
A5040194536,Kristian Schultz Hansen,7,6
A5043932960,Chunling Lu,7,6
A5057851847,Arpita Chakraborty,7,6
A5061858117,Sanghamitra Pati,7,6
A5066514422,Tim Ensor,7,6
A5101604466,Ashis Das,7,6
A5108657982,Shivendra Sangar,7,6
A5004893677,Frank Otchere,7,5
A5008132739,Aleksandra Torbica,7,5
A5010855783,Malabika Sarker,7,5
A5014434714,Koos van der Velden,7,5
A5019620915,Abdourahmane Coulibaly,7,5
A5022537523,Mieraf Taddesse Tolla,7,5
A5025668646,Vishnu Prasad Sapkota,7,5
A5049583211,Joseph Kutzin,7,5
A5064644724,Isidore Sieleunou,7,5
A5065738687,Agnes Gatome-Munyua,7,5
A5066482975,Emmanuel Nshakira‐Rukundo,7,5
A5067679041,Williams Agyemang‐Duah,7,5
A5084160242,David R. Hotchkiss,7,5
A5087245158,Oliver Kaonga,7,5
A5088263904,Lydia Dsane‐Selby,7,5
A5101159702,Ke Xu,7,5
A5109233352,Bocar Kouyaté,7,5
A5110524746,Tara Sinha,7,5
A5002179104,Alphoncina Kagaigai,7,4
A5014738357,Alemayehu Hailu,7,4
A5020681319,Peter Twum,7,4
A5029355099,Pratik Khanal,7,4
A5031077871,Tobias F. Rinke de Wit,7,4
A5060647456,Akanni Olayinka Lawanson,7,4
A5080968794,Uchenna Ezenwaka,7,4
A5085212006,Tope Michael Ipinnimo,7,4
A5091422244,Ronald Upenyu Mutasa,7,4
A5005811767,Keneni Gutema Negeri,7,3
A5008120844,Sitanshu Sekhar Kar,7,3
A5032772182,Abdene Weya Kaso,7,3
A5068788182,Beryl Maritim,7,3
A5091770714,Richmond Owusu,7,3
A5046010047,Radha Bhattarai,7,2
A5080723145,Kare Chawicha Debessa,7,2
A5108652537,Shifa Salman Habib,7,2
A5112858875,Ijeoma Okoronkwo,7,2
A5074436213,Amr Elshalakani,7,1
A5139016916,Abdelaziz Djerad,7,0
A5021378802,Bjarne Robberstad,6,6
A5022788928,Freddie Ssengooba,6,6
A5037071859,Abigail Chapin,6,6
A5071918536,Lucero Cahuana-Hurtado,6,6
A5073353338,Sulakshana Nandi,6,6
A5085862062,Desta Debalkie Atnafu,6,6
A5086893116,Fatuma Manzi,6,6
A5089357893,Anup Karan,6,6
A5003612950,Nafis Sadat,6,5
A5011931425,Zubin Cyrus Shroff,6,5
A5014852109,Ralf Radermacher,6,5
A5020269629,Bruno Ventelou,6,5
A5026038688,Sjaak van der Geest,6,5
A5026432812,Jane Falkingham,6,5
A5026823453,Catherine Goodman,6,5
A5027778213,Samia Laokri,6,5
A5032393096,Iddy Mayumana,6,5
A5041511877,Jobiba Chinkhumba,6,5
A5041876893,Mesfin Haile Kahissay,6,5
A5042028778,Stephen Kwasi Opoku Duku,6,5
A5046698351,Sassy Molyneux,6,5
A5051804569,Umakant Dash,6,5
A5052646876,Sathirakorn Pongpanich,6,5
A5057375969,Paul Welaga,6,5
A5060739350,Jane Goudge,6,5
A5062284331,Zemzem Shigute,6,5
A5067108343,Edward Kwabena Ameyaw,6,5
A5082277068,Adeyinka Adeniran,6,5
A5083117123,Samina Mohsin Khan,6,5
A5087356136,Aloysius Ssennyonjo,6,5
A5090105475,Rifat Atun,6,5
A5091534005,Bedasa Taye Merga,6,5
A5100628219,Md Mizanur Rahman,6,5
A5103052873,Swati Srivastava,6,5
A5108219490,Dan Chisholm,6,5
A5108362470,Jean‐Paul Moatti,6,5
A5001246850,Husien Nurahmed Toleha,6,4
A5005795675,Mezgebu Yitayal,6,4
A5012839334,Jean‐Paul Dossou,6,4
A5013469660,Gabriela Flores,6,4
A5019487747,Jeetendra Yadav,6,4
A5021202733,Alfred Edwin Yawson,6,4
A5024933527,Nirmala Ravishankar,6,4
A5026629814,Mit Philips,6,4
A5029589901,Agnès Soucat,6,4
A5034209626,Taslima Rahman,6,4
A5035797285,Bukar Alhaji Grema,6,4
A5047626945,Foluke Olukemi Adeniji,6,4
A5050870168,Sarit Kumar Rout,6,4
A5053107045,Mohammed Hussien,6,4
A5058356651,Wenhui Mao,6,4
A5061149098,Danielle Wilhelm,6,4
A5066153242,Rashidul Alam Mahumud,6,4
A5070799438,David Evans,6,4
A5076965020,Garrett Wallace Brown,6,4
A5077158301,Peter Hangoma,6,4
A5079188061,Johannes Jütting,6,4
A5085585521,Mohammad Wahid Ahmed,6,4
A5091753426,Clement Adamba,6,4
A5100343392,Ibrahim Aliyu,6,4
A5108685949,Dominic Gasbarro,6,4
A5110918971,Adama Faye,6,4
A5015153745,Samuel Chatio,6,3
A5031835665,Priyanka Saksena,6,3
A5032272328,Nathaniel Otoo,6,3
A5032990273,Tanuj Mathur,6,3
A5041269689,Lawrence Were,6,3
A5047192551,Justice Nonvignon,6,3
A5054175419,Saheed O. Olayiwola,6,3
A5076296181,Mariam Musah,6,3
A5081583914,Chitalu Miriam Chama‐Chiliba,6,3
A5082702781,Girmay Medhin,6,3
A5087044026,Somil Nagpal,6,3
A5001908333,Laurence Touré,6,2
A5034010521,Eunice Muthoni Mwangi,6,2
A5061065312,Mukesh Adhikari,6,2
A5103186425,Biraj Karmacharya,6,2
A5057247598,Mamadou Makhtar Mbacké Lèye,6,1
A5026338624,Asel Sargaldakova,6,0
A5027149167,Adam L eive,6,0
A5030934616,Verena Struckmann,6,0
A5129633183,Karen Moland,6,0
A5003867839,Jenna Dixon,5,5
A5004892854,Abdelmajid Tibouti,5,5
A5008064001,Carl Abelardo T. Antonio,5,5
A5010689942,Varun Dutt,5,5
A5011782450,Anna Vassall,5,5
A5015542973,Nicholas J. K. Breitborde,5,5
A5016887124,Akashdeep Singh Chauhan,5,5
A5019498995,Bruno Marchal,5,5
A5022647764,Zelalem Yilma,5,5
A5025139356,Berber Kramer,5,5
A5026122446,Veronika J. Wirtz,5,5
A5028045262,Wim Groot,5,5
A5028398242,Maurice Yaogo,5,5
A5029899759,Naasegnibe Kuunibe,5,5
A5031627961,Paul‐André Somé,5,5
A5031889135,Simon I Hay,5,5
A5032372576,Samer Hamidi,5,5
A5033220025,Florian Fischer,5,5
A5035373572,Peju Adenusi,5,5
A5040481309,Samik Chowdhury,5,5
A5040966730,Robert Riviello,5,5
A5041534176,Ludovic Queuille,5,5
A5043601502,Yamba Kafando,5,5
A5045102220,Manisha Dubey,5,5
A5045939502,Dina Adei,5,5
A5046747531,Stephen Mulupi,5,5
A5047569384,Menno Pradhan,5,5
A5054113538,Lauren Suchman,5,5
A5055752936,G Anil Kumar,5,5
A5058823173,Ayaga A. Bawah,5,5
A5060678650,Donald S. Shepard,5,5
A5061382446,Tobias Rinke de Wit,5,5
A5062466919,Neeraj Sood,5,5
A5063669977,Edosa Tesfaye Geta,5,5
A5063950788,Nataliya A Foigt,5,5
A5066062161,Kaspar Wyss,5,5
A5069942223,Evelyn Kabia,5,5
A5070863933,Ardeshir Sepehri,5,5
A5073807359,Birhanu Demeke Workneh,5,5
A5074635267,Vincent De Brouwere,5,5
A5082725498,Laurel Hatt,5,5
A5087822200,Yotamu Chirwa,5,5
A5088331996,Hilda L Harb,5,5
A5091172186,Robert Soeters,5,5
A5105975068,Robert Sparrow,5,5
A5001805158,Ayal Debie,5,4
A5004512737,Melisa Martínez-Álvarez,5,4
A5004888274,Serge Somda,5,4
A5010767222,Natasha Palmer,5,4
A5012336322,Aïssa Diarra,5,4
