journal,publications,citations,mean_citations,mean_fwci
African Journal of Midwifery and Women s Health,1,2,2.0,0.0
American International Journal of Multidisciplinary Scientific Research,1,2,2.0,0.5934
American academic & scholarly research journal,1,2,2.0,0.6309
Applied Soft Computing,1,2,2.0,43.4837
Archives of Medicine,1,2,2.0,0.4613
Asian Economic Policy Review,1,2,2.0,0.4706
BLDE University Journal of Health Sciences,1,2,2.0,0.4156
Canadian social science,1,2,2.0,0.2387
Current Research in Interdisciplinary Studies,1,2,2.0,1.3378
E-Journal of Humanities Arts and Social Sciences,1,2,2.0,0.2071
East African Journal of Information Technology,1,2,2.0,0.2576
Ekonomski horizonti,1,2,2.0,0.5372
Finance & Accounting Research Journal,1,2,2.0,0.7356
Global Disclosure of Economics and Business,1,2,2.0,0.8763
Gümüşhane Üniversitesi Sağlık Bilimleri Dergisi,1,2,2.0,1.3052
Health Behavior and Policy Review,1,2,2.0,0.6512
Health Sciences Investigations Journal,1,2,2.0,0.8495
Healthcare financial management,1,2,2.0,0.0
Hospital Topics,1,2,2.0,0.8495
Indian Journal of Community and Family Medicine,1,2,2.0,0.0
Indian Journal of Ophthalmology,1,2,2.0,0.3601
Indian Journal of Sexually Transmitted Diseases and AIDS,1,2,2.0,0.4639
Innovation & Management Review,1,2,2.0,4.1842
International Journal of Advanced Community Medicine,1,2,2.0,0.0
International Journal of Advanced Multidisciplinary Research and Studies,1,2,2.0,3.0166
International Journal of Building Pathology and Adaptation,1,2,2.0,2.5061
International Journal of Computer Science and Data Engineering,1,2,2.0,2.6358
International Journal of Contemporary Research and Review,1,2,2.0,0.4297
International Journal of Current Research and Review,1,2,2.0,0.2272
International Journal of Economics and Finance,1,2,2.0,0.0
International Journal of Management and Development Studies,1,2,2.0,0.7356
International Journal of Public Health Research,1,2,2.0,0.6156
International Journal of Public Sector Management,1,2,2.0,1.0105
International Journal of Research Foundation of Hospital and Healthcare Administration,1,2,2.0,0.0
International Journal of Sudan Research,1,2,2.0,0.0
International Journal of Surgery Global Health,1,2,2.0,1.0517
International and Multidisciplinary Journal of Social Sciences,1,2,2.0,0.3282
Iranian Journal of Public Health,1,2,2.0,0.8495
Italian Journal of Public Health,1,2,2.0,0.0
JINAV Journal of Information and Visualization,1,2,2.0,0.4413
Japanese journal of leprosy,1,2,2.0,0.1954
Journal of Ayurveda and Holistic medicine.,1,2,2.0,0.4104
Journal of Evaluation in Clinical Practice,1,2,2.0,3.176
Journal of Global Economy,1,2,2.0,0.8085
Journal of Governance and Regulation,1,2,2.0,0.389
Journal of Health Inequalities,1,2,2.0,0.7405
Journal of Information Technology and Digital World,1,2,2.0,1.0897
Journal of Lung Health and Diseases,1,2,2.0,0.0
Journal of Maternal and Child Health,1,2,2.0,0.7628
Journal of Medical Ethics,1,2,2.0,0.3595
Journal of Policy History,1,2,2.0,2.2368
Journal of Primary Care & Community Health,1,2,2.0,0.5929
Journal of Research and Health,1,2,2.0,0.4142
Journal of Social Protection,1,2,2.0,0.0
Journal of Social Sciences,1,2,2.0,0.5874
Journal of human dynamics,1,2,2.0,0.812
Journal of medical research/The journal of medical research,1,2,2.0,0.0
Jurnal Bisnis Manajemen dan Ekonomi,1,2,2.0,0.5655
KIU Journal of Social Sciences,1,2,2.0,0.4045
Korea Association of International Development and Cooperation,1,2,2.0,0.0
Malaysian Journal of Medical and Biological Research,1,2,2.0,0.0
Momona Ethiopian Journal of Science,1,2,2.0,1.0084
Obstetrics and Gynecology Research,1,2,2.0,0.0
RA Journal Of Applied Research,1,2,2.0,0.0
Revista Gestão Inovação e Tecnologias,1,2,2.0,0.23
SN Business & Economics,1,2,2.0,0.4125
South Asian Journal of Business and Management Cases,1,2,2.0,1.0886
South East Asia Journal of Public Health,1,2,2.0,0.0
Sumedha Journal of Management,1,2,2.0,0.0
The Geneva Risk and Insurance Review,1,2,2.0,0.0
The Journal of African Development,1,2,2.0,0.5291
The Journal of Medicine Law & Public Health,1,2,2.0,2.4282
Traditional Medicine Research,1,2,2.0,0.2781
World Journal of Cardiovascular Diseases,1,2,2.0,0.779
生命科学（ISSN1934-7391）,1,2,2.0,0.385
"2002 Annual meeting, July 28-31, Long Beach, CA",1,1,1.0,0.0
ABUAD Journal of Engineering Research and Development (AJERD),1,1,1.0,0.5421
Acta Neurologica Scandinavica,1,1,1.0,0.2353
Acta agriculturae Slovenica,1,1,1.0,0.0
Administrative Sciences,1,1,1.0,3.5146
Africa Environmental Review Journal,1,1,1.0,0.0
African Journal of Economics and Sustainable Development,1,1,1.0,0.3706
African Journal of Microbiology Research,1,1,1.0,0.0
African Journal of Neurological Sciences,1,1,1.0,0.0
Agricultural Finance Review,1,1,1.0,0.2816
Annals of Clinical and Biomedical Research,1,1,1.0,0.3704
Annals of community health,1,1,1.0,0.2306
Archives of Current Research International,1,1,1.0,0.2026
Archives of Disease in Childhood,1,1,1.0,0.4849
Asian Journal of Health Sciences,1,1,1.0,0.2185
Asian Journal of Social Sciences and Management Studies,1,1,1.0,0.6818
BMC Complementary Medicine and Therapies,1,1,1.0,12.6019
BMC Rheumatology,1,1,1.0,0.7854
BMJ Case Reports,1,1,1.0,0.2618
Business Perspective Review,1,1,1.0,0.2618
EKONOMIKA I UPRAVLENIE PROBLEMY RESHENIYA,1,1,1.0,0.2941
Economic Sciences.,1,1,1.0,6.4615
Economy,1,1,1.0,1.5793
Ethiopian journal of public health and nutrition,1,1,1.0,0.0
European Heart Journal - Quality of Care and Clinical Outcomes,1,1,1.0,6.3227
European Journal of Clinical and Biomedical Sciences,1,1,1.0,0.3895
European Journal of Mathematics and Statistics,1,1,1.0,0.6566
Financial Engineering,1,1,1.0,1.2141
Frontiers in Medicine,1,1,1.0,0.6357
GUSAU JOURNAL OF ECONOMICS AND DEVELOPMENT STUDIES,1,1,1.0,0.3698
Gender and Behaviour,1,1,1.0,0.0
GeoJournal,1,1,1.0,1.1332
Global Journal of Medical Research,1,1,1.0,0.2206
Global Pediatric Health,1,1,1.0,0.3728
Global journal of applied management and social sciences,1,1,1.0,0.0
Gynecology and Obstetrics Clinical Medicine,1,1,1.0,0.133
Humanities and Social Sciences,1,1,1.0,0.0
Humanities and Social Sciences Letters,1,1,1.0,0.2243
INTERNATIONAL JOURNAL OF PROFESSIONAL STUDIES,1,1,1.0,0.0
INTERNATIONAL JOURNAL OF SCIENTIFIC RESEARCH,1,1,1.0,0.6752
ISRN Public Health,1,1,1.0,0.0
Indian Journal of Economics and Development,1,1,1.0,0.2585
Indian Journal of Pharmaceutical Sciences,1,1,1.0,1.1402
Indian Journal of Pharmacy Practice,1,1,1.0,0.1717
International Journal in Management and Social Science,1,1,1.0,0.0
International Journal of Academic Research in Business and Social Sciences,1,1,1.0,0.2841
International Journal of Current Aspects,1,1,1.0,0.0
International Journal of Engineering Technologies and Management Research,1,1,1.0,0.2451
International Journal of Evidence-Based Healthcare,1,1,1.0,0.0
International Journal of Health Policy Planning,1,1,1.0,0.5123
International Journal of Health and Medicine,1,1,1.0,0.0834
International Journal of Integrative Medical Sciences,1,1,1.0,0.261
International Journal of Management and Humanities,1,1,1.0,0.2514
International Journal of Multidisciplinary Research & Reviews,1,1,1.0,1.5501
International Journal of Mycobacteriology,1,1,1.0,0.1273
International Journal of Occupational Safety and Health,1,1,1.0,0.3926
International Journal of Public Health and Nursing,1,1,1.0,10.6994
International Journal of Reviews and Research in Social Sciences,1,1,1.0,0.0
International Journal of Science Technology and Society,1,1,1.0,0.4247
International Journal of Scientific Research and Management (IJSRM),1,1,1.0,0.3698
International Journal of Scientific Research in Education,1,1,1.0,0.0
International Journal of Scientific and Management Research,1,1,1.0,0.3706
International Studies Interdisciplinary Political and Cultural Journal,1,1,1.0,0.6522
International development policy/Revue internationale de politique de développement,1,1,1.0,0.2698
International journal for humanities and social sciences.,1,1,1.0,0.2848
"International journal of research in commerce, economics and management",1,1,1.0,0.0
International journal of research in social sciences,1,1,1.0,0.0
International public management review,1,1,1.0,0.0
JAIDS Journal of Acquired Immune Deficiency Syndromes,1,1,1.0,0.0967
Japan Journal of Medicine,1,1,1.0,0.1547
Journal Healthcare Treatment Development,1,1,1.0,1.2202
Journal Of Healthcare In Developing Countries,1,1,1.0,0.2071
Journal of Bangladesh College of Physicians and Surgeons,1,1,1.0,0.198
Journal of Biosciences and Medicines,1,1,1.0,0.2102
Journal of Business Management and Information Systems,1,1,1.0,0.6566
Journal of Commerce and Management Thought,1,1,1.0,0.0
Journal of Complementary Medicine Research,1,1,1.0,0.198
Journal of Contemporary Research in Business Economics and Finance,1,1,1.0,0.3895
Journal of Dr. YSR University of Health Sciences.,1,1,1.0,1.3588
Journal of Drug Delivery and Therapeutics,1,1,1.0,0.2071
Journal of Economic and Business Research,1,1,1.0,0.0
Journal of Health Statistics Reports,1,1,1.0,0.4233
Journal of Health and Allied Sciences,1,1,1.0,0.207
Journal of Indian Academy of Forensic Medicine,1,1,1.0,0.2119
Journal of Mass Communication and Journalism,1,1,1.0,0.0
Journal of Media and Communication Studies,1,1,1.0,0.0
Journal of Medical Science And clinical Research,1,1,1.0,0.0
Journal of Oncology Pharmacy Practice,1,1,1.0,0.0
Journal of Public Policy and Administration,1,1,1.0,0.4247
Journal of Research and Innovation for Sustainable Society,1,1,1.0,0.311
Journal of Research in Medical and Dental Science,1,1,1.0,0.3015
Journal of Stroke and Cerebrovascular Diseases,1,1,1.0,0.1541
Journal of corporate governance insurance and risk management,1,1,1.0,0.2454
Jurnal Ekonomi dan Studi Pembangunan,1,1,1.0,0.3703
KAS African Law Study Library - Librairie Africaine d’Etudes Juridiques,1,1,1.0,0.0
Lapai Journal of Economics,1,1,1.0,0.4233
Legal Research Development,1,1,1.0,0.0
Modern Economy,1,1,1.0,0.0481
Nepal Journal of Public Health,1,1,1.0,1.2202
Net Journal of Social Sciences,1,1,1.0,0.5658
Open Journal of Nephrology,1,1,1.0,0.2454
Open Journal of Psychiatry & Allied Sciences,1,1,1.0,0.0787
Pakistan Journal of Public Health,1,1,1.0,0.2988
Pan-African Journal of Health and Environmental Science,1,1,1.0,0.4288
Policy & Governance Review,1,1,1.0,0.0
Qualitative Research in Medicine & Healthcare,1,1,1.0,0.3306
RADS Journal of Pharmacy and Pharmaceutical Sciences,1,1,1.0,0.0
Ramanujan International Journal of Business and Research,1,1,1.0,0.2267
Review of Agricultural Food and Environmental Studies,1,1,1.0,0.0
Rupantaran A Multidisciplinary Journal,1,1,1.0,0.6387
Rwanda Journal of Medicine and Health Sciences,1,1,1.0,0.6286
SAINSMAT Journal of Applied Sciences Mathematics and Its Education,1,1,1.0,0.2977
SMART Journal of Business Management Studies,1,1,1.0,0.0
Santosh University Journal of Health Sciences,1,1,1.0,1.4921
Science,1,1,1.0,0.1479
Sexually Transmitted Infections,1,1,1.0,0.0
Sociedade e Cultura,1,1,1.0,0.341
Surgical Oncology Insight,1,1,1.0,1.3588
The Economics and Finance Letters,1,1,1.0,1.5782
The Egyptian Family Medicine Journal/The Egyptian Family Medicine Journal ,1,1,1.0,0.0
The IUP Journal of Applied Economics,1,1,1.0,0.0
The International Journal of Tuberculosis and Lung Disease,1,1,1.0,0.0967
The Lancet HIV,1,1,1.0,0.4759
UTMS Journal of Economics,1,1,1.0,0.0
Verfassung in Recht und Übersee,1,1,1.0,1.0411
World Journal of Biology Pharmacy and Health Sciences,1,1,1.0,1.3544
World Journal of Research and Review,1,1,1.0,0.9875
Zagazig University Medical Journal,1,1,1.0,0.4082
"141st APHA Annual Meeting and Exposition (November 2 - November 6, 2013)",1,0,0.0,0.0
ABUAD Journal of the Humanities-AGIDIGBO,1,0,0.0,0.0
ACADEMICIA An International Multidisciplinary Research Journal,1,0,0.0,0.0
AEFUNAI Journal of Economics Finance and Development Studies,1,0,0.0,0.0
AKSU Journal of Administration and Corporate Governance,1,0,0.0,0.0
AKSU Journal of Social Sciences,1,0,0.0,0.0
Academia Research Journal,1,0,0.0,0.0
Academic Voices A Multidisciplinary Journal,1,0,0.0,0.0
Acta Medica Saliniana,1,0,0.0,0.0
Acta Scientific Paediatrics,1,0,0.0,0.0
Adarsh Journal of Management Research,1,0,0.0,0.0
Advanced Emergency Nursing Journal,1,0,0.0,0.0
Advances In Image and Video Processing,1,0,0.0,0.0
Advances and Applications in Statistics,1,0,0.0,0.0
Advances in Research,1,0,0.0,0.0
Africa: rivista trimestrale di studi e documentazione,1,0,0.0,0.0
African J of Economic and Sustainable Development,1,0,0.0,0.0
African Journal of Commercial Studies,1,0,0.0,0.0
African Journal of Finance and Management,1,0,0.0,0.0
African Journal of Health Nursing and Midwifery,1,0,0.0,0.0
African Journal of Health Safety and Environment,1,0,0.0,0.0
African Journal of Inter/Multidisciplinary Studies,1,0,0.0,0.0
African Journal of Social Issues,1,0,0.0,0.0
African Journal of Social Sciences and Humanities Research,1,0,0.0,0.0
African Quarterly Social Science Review,1,0,0.0,0.0
African Scientific Reports,1,0,0.0,0.0
Agrarwirtschaft,1,0,0.0,0.0
Ahmar Metastasis Health Journal,1,0,0.0,0.0
Aktualʹnye voprosy sovremennoj èkonomiki.,1,0,0.0,0.0
Al-Bahir Journal for Engineering and Pure Sciences,1,0,0.0,0.0
Al-Mağallah Al-Dawliyyaẗ Lil Sīyāsāt Al-ʿāmaẗ fi Miṣr,1,0,0.0,0.0
American Journal of Development Studies,1,0,0.0,0.0
American Journal of Economics and Business Management,1,0,0.0,0.0
American Journal of Health Medicine and Nursing Practice,1,0,0.0,0.0
American Journal of Interdisciplinary Research and Innovation,1,0,0.0,0.0
American Journal of Law & Medicine,1,0,0.0,0.0
American journal of mathematics and statistics,1,0,0.0,0.0
Analisa Journal of Social Science and Religion,1,0,0.0,0.0
Annals of Biomedical Sciences,1,0,0.0,0.0
Annals of Dunarea de Jos University of Galati Fascicle I Economics and Applied Informatics,1,0,0.0,0.0
Annals of Emergency Medicine,1,0,0.0,0.0
Annals of Indian Psychiatry,1,0,0.0,0.0
Annals of Management and Organization Research,1,0,0.0,0.0
Annals of Oncology,1,0,0.0,0.0
Annals of Pharmacy Practice and Pharmacotherapy,1,0,0.0,0.0
Annals of Psychiatry and Treatment,1,0,0.0,0.0
Anthropology and Ethnology Open Access Journal,1,0,0.0,0.0
Aposta,1,0,0.0,0.0
Architecture Image Studies,1,0,0.0,0.0
Archives of Gerontology and Geriatrics Plus,1,0,0.0,0.0
Archives of Management and Social Sciences,1,0,0.0,0.0
Archives of Osteoporosis,1,0,0.0,0.0
Archives of Trauma and Emergency Medicine,1,0,0.0,0.0
Asia-Pacific Journal of Risk and Insurance,1,0,0.0,0.0
Asian Journal of Agriculture Research and Extension,1,0,0.0,0.0
Asian Journal of Dairy and Food Research,1,0,0.0,0.0
Asian Journal of Development Matters,1,0,0.0,0.0
Asian Journal of Economics and Empirical Research,1,0,0.0,0.0
Asian Journal of Empirical Research,1,0,0.0,0.0
Asian Journal of Ethics in Health and Medicine,1,0,0.0,0.0
Asian Journal of Population Sciences,1,0,0.0,0.0
Assiut Scientific Nursing Journal,1,0,0.0,0.0
Australian journal of medical herbalism,1,0,0.0,0.0
BARUN Journal,1,0,0.0,0.0
BMC Cancer,1,0,0.0,0.0
BSSS Journal of Commerce,1,0,0.0,0.0
BSSS Journal of Social Work,1,0,0.0,0.0
Babcock University Medical Journal,1,0,0.0,0.0
Badania Operacyjne i Decyzje/Operations Research and Decisions,1,0,0.0,0.0
Bali Medical Journal,1,0,0.0,0.0
Bangladesh Journal of Political Economy,1,0,0.0,0.0
Bangladesh Medical Journal,1,0,0.0,0.0
Beykoz Akademi Dergisi,1,0,0.0,0.0
Bioinformation,1,0,0.0,0.0
Biomedical Science and Clinical Research,1,0,0.0,0.0
Bioscience Biotechnology Research Communications,1,0,0.0,0.0
British Journal of Contemporary Research,1,0,0.0,0.0
British journal of healthcare and medical research,1,0,0.0,0.0
Cambodia Development Review,1,0,0.0,0.0
Cancer Management and Research,1,0,0.0,0.0
Chinese Health Resources,1,0,0.0,0.0
Cogent Business & Management,1,0,0.0,0.0
Cognizance Journal of Multidisciplinary Studies,1,0,0.0,0.0
Computer Science and Information Technologies,1,0,0.0,0.0
Contemporary Journal of Social Science Review,1,0,0.0,0.0
Contemporary Research An Interdisciplinary Academic Journal,1,0,0.0,0.0
Cross River Journal of Medicine,1,0,0.0,0.0
Crossroads of Social Inquiry,1,0,0.0,0.0
Current Medical Research and Opinion,1,0,0.0,0.0
Current Research in Health Sciences,1,0,0.0,0.0
DEPAN,1,0,0.0,0.0
Development in Practice,1,0,0.0,0.0
Diabetes,1,0,0.0,0.0
Diabetes Research and Clinical Practice,1,0,0.0,0.0
Direct Research Journal of Social Science and Educational Studies,1,0,0.0,0.0
Discover Food,1,0,0.0,0.0
Discover Medicine,1,0,0.0,0.0
EKOMBIS REVIEW Jurnal Ilmiah Ekonomi dan Bisnis,1,0,0.0,0.0
EUROPEAN RESEARCH,1,0,0.0,0.0
East Africa Science,1,0,0.0,0.0
East African Health Research Journal,1,0,0.0,0.0
East African Journal of Business and Economics,1,0,0.0,0.0
East African Journal of Social and Applied Sciences (EAJ-SAS),1,0,0.0,0.0
Econometrics Letters,1,0,0.0,0.0
Economic Alternatives,1,0,0.0,0.0
Economics,1,0,0.0,0.0
Edith Cowan Journal of Medicine Nursing and Public health,1,0,0.0,0.0
Egypt Institute Journal,1,0,0.0,0.0
Egyptian Pediatric Association Gazette,1,0,0.0,0.0
El Mednifico Journal,1,0,0.0,0.0
Empirical Economic Review,1,0,0.0,0.0
European Journal of Accounting Finance & Business,1,0,0.0,0.0
European Journal of Business Management and Research,1,0,0.0,0.0
European Journal of Economics and Management Sciences,1,0,0.0,0.0
European Journal of Innovative Studies and Sustainability,1,0,0.0,0.0
European Journal of Molecular & Clinical Medicine,1,0,0.0,0.0
Evidence Based Health Policy Management and Economics,1,0,0.0,0.0
Exploration of Digital Health Technologies,1,0,0.0,0.0
FOCUS Journal of International Business,1,0,0.0,0.0
FOXBusiness,1,0,0.0,0.0
FUDMA JOURNAL OF MANAGEMENT SCIENCES,1,0,0.0,0.0
Family Medicine & Primary Care Review,1,0,0.0,0.0
Field Actions Science Reports,1,0,0.0,0.0
GHMJ (Global Health Management Journal),1,0,0.0,0.0
GLOBAL BUSINESS & FINANCE REVIEW,1,0,0.0,0.0
GLOBAL JOURNAL OF MEDICAL STUDENTS,1,0,0.0,0.0
GSC Advanced Research and Reviews,1,0,0.0,0.0
Global Health,1,0,0.0,0.0
Global Health Cases,1,0,0.0,0.0
Global Health Journal of Health Sciences Public Health and Pharmacy,1,0,0.0,0.0
Global Journal of Arts Humanities and Social Sciences,1,0,0.0,0.0
Governance and Society Review,1,0,0.0,0.0
Gusau Journal of Accounting and Finance,1,0,0.0,0.0
Haemophilia,1,0,0.0,0.0
Health & Healthcare in America: From Economics to Policy,1,0,0.0,0.0
Health Care Current Reviews,1,0,0.0,0.0
Health Promotion Journal of Australia,1,0,0.0,0.0
Health Prospect,1,0,0.0,0.0
Health Scope,1,0,0.0,0.0
Health Service Management Review,1,0,0.0,0.0
Health and population. Perspectives and issues,1,0,0.0,0.0
Highland Medical Research Journal,1,0,0.0,0.0
Hokengakuzasshi (JOURNAL of INSURANCE SCIENCE),1,0,0.0,0.0
Hometown Advertising Limited.,1,0,0.0,0.0
Hong Kong Journal of Social Sciences,1,0,0.0,0.0
Hungarian Journal of African Studies / Afrika Tanulmányok,1,0,0.0,0.0
IDOSR JOURNAL OF BIOLOGY CHEMISTRY AND PHARMACY,1,0,0.0,0.0
IHOPE Journal of Ophthalmology,1,0,0.0,0.0
IJARCCE,1,0,0.0,0.0
INTERNATIONAL JOURNAL OF PUBLIC HEALTH RESEARCH AND DEVELOPMENT,1,0,0.0,0.0
INTERNATIONAL JOURNAL OF SOCIAL SCIENCES AND MANAGEMENT RESEARCH,1,0,0.0,0.0
IOSR Journal of Nursing and health Science,1,0,0.0,0.0
IPS Journal of Public Health,1,0,0.0,0.0
IUP Journal of Marketing Management,1,0,0.0,0.0
IgMin Research,1,0,0.0,0.0
Ilgʻor iqtisodiyot va pedagogik texnologiyalar.,1,0,0.0,0.0
Indian Dermatology Online Journal,1,0,0.0,0.0
Indian Journal of Clinical Anatomy and Physiology,1,0,0.0,0.0
Indian Journal of Contemporary Dentistry,1,0,0.0,0.0
Indian Journal of Forensic Medicine & Toxicology,1,0,0.0,0.0
Indian Journal of Medical Sciences,1,0,0.0,0.0
Indian Journal of Nephrology,1,0,0.0,0.0
Indian Journal of Peritoneal dialysis,1,0,0.0,0.0
Indus journal of social sciences.,1,0,0.0,0.0
Inspire Smart Systems Journal,1,0,0.0,0.0
Int. J. of Aquatic Science,1,0,0.0,0.0
Integrated Health Research Journal,1,0,0.0,0.0
Interdisciplinary Journal of Emerging and Social Sciences,1,0,0.0,0.0
International Academic Journal of Business Management,1,0,0.0,0.0
International Academic Journal of Science and Engineering,1,0,0.0,0.0
International Journal Of All Research Writings,1,0,0.0,0.0
International Journal Of Applied Research and Studies,1,0,0.0,0.0
International Journal Of History And Political Sciences,1,0,0.0,0.0
International Journal for Multidimensional Research Perspectives,1,0,0.0,0.0
International Journal of ADVANCED AND APPLIED SCIENCES,1,0,0.0,0.0
International Journal of Academic Research,1,0,0.0,0.0
International Journal of Academic Research in Accounting Finance and Management Sciences,1,0,0.0,0.0
International Journal of Accounting Finance and Social Science Research,1,0,0.0,0.0
International Journal of Accounting Management and Economic Review,1,0,0.0,0.0
International Journal of Advance Research in Nursing,1,0,0.0,0.0
International Journal of Advanced Research in Accounting Economics and Business Perspectives,1,0,0.0,0.0
International Journal of Advanced Research in Economics and Finance,1,0,0.0,0.0
International Journal of Advances in Medicine,1,0,0.0,0.0
International Journal of Agriculture Extension and Social Development,1,0,0.0,0.0
International Journal of Allied Medical Sciences and Clinical Research,1,0,0.0,0.0
International Journal of Apllied Mathematics,1,0,0.0,0.0
International Journal of Asian Economic Light,1,0,0.0,0.0
International Journal of Business Law and Political Science,1,0,0.0,0.0
International Journal of Business and Economic Development,1,0,0.0,0.0
International Journal of Business and Management (IJBM),1,0,0.0,0.0
International Journal of Business and Society,1,0,0.0,0.0
International Journal of Clinical Pharmacy,1,0,0.0,0.0
International Journal of Clinical and Medical Education Research,1,0,0.0,0.0
International Journal of Contemporary Medicine,1,0,0.0,0.0
International Journal of Dental Hygiene,1,0,0.0,0.0
International Journal of Economics,1,0,0.0,0.0
International Journal of Economics Finance & Management Science,1,0,0.0,0.0
International Journal of Environmental Sciences,1,0,0.0,0.0
International Journal of Finance and Accounting,1,0,0.0,0.0
International Journal of Foreign Trade and International Business,1,0,0.0,0.0
International Journal of Health Care and Biological Sciences,1,0,0.0,0.0
International Journal of Health Sciences (IJHS),1,0,0.0,0.0
International Journal of Health System and Disaster Management,1,0,0.0,0.0
International Journal of Health Systems and Policy,1,0,0.0,0.0
International Journal of Humanities and Social Sciences,1,0,0.0,0.0
"International Journal of Humanities, Literature and Art Research",1,0,0.0,0.0
International Journal of Industrial Marketing,1,0,0.0,0.0
International Journal of Law Politics and Governance,1,0,0.0,0.0
International Journal of Linguistics Applied Psychology and Technology (IJLAPT),1,0,0.0,0.0
International Journal of Management Studies and Social Science Research,1,0,0.0,0.0
International Journal of Management and Organizational Research,1,0,0.0,0.0
International Journal of Medical Informatics,1,0,0.0,0.0
International Journal of Medicine & Health Research (IJMHR) (ISSN 2395-3586),1,0,0.0,0.0
International Journal of Multidisciplinary Research and Growth Evaluation,1,0,0.0,0.0
International Journal of Orthopaedics Sciences,1,0,0.0,0.0
International Journal of P2P Network Trends and Technology,1,0,0.0,0.0
International Journal of Pharmaceutical Sciences Review and Research,1,0,0.0,0.0
International Journal of Physical and Social Sciences,1,0,0.0,0.0
International Journal of Probability and Statistics,1,0,0.0,0.0
International Journal of Progressive Sciences and Technologies,1,0,0.0,0.0
International Journal of Public Administration and Management Research,1,0,0.0,0.0
International Journal of Public and Private Perspectives on Healthcare Culture and the Environment,1,0,0.0,0.0
International Journal of Quantitative and Qualitative Research Methods,1,0,0.0,0.0
International Journal of Religion,1,0,0.0,0.0
International Journal of Research & Technology,1,0,0.0,0.0
International Journal of Research In Commerce and Management Studies,1,0,0.0,0.0
International Journal of Research in Management,1,0,0.0,0.0
International Journal of Rural Management,1,0,0.0,0.0
International Journal of Science Architecture Technology and Environment,1,0,0.0,0.0
International Journal of Science and Management Studies (IJSMS),1,0,0.0,0.0
International Journal of Sciences: Basic and Applied Research,1,0,0.0,0.0
International Journal of Scientific Research,1,0,0.0,0.0
International Journal of Social Science Research (IJSSR),1,0,0.0,0.0
International Journal of Social Science Research and Review,1,0,0.0,0.0
International Journal of Social Science and Economic Research,1,0,0.0,0.0
International Journal of Social Science and Economics Invention,1,0,0.0,0.0
International Journal of Statistics and Applied Mathematics,1,0,0.0,0.0
International Journal of Sustainable Applied Sciences,1,0,0.0,0.0
International Journal of Technology,1,0,0.0,0.0
International Journal of Trend in Scientific Research and Development,1,0,0.0,0.0
International Journal of Trends and Innovations in Business & Social Sciences,1,0,0.0,0.0
International Journal of Women s Health and Wellness,1,0,0.0,0.0
International Journal on Recent and Innovation Trends in Computing and Communication,1,0,0.0,0.0
International Journal on Science and Technology,1,0,0.0,0.0
International Research Journal on Advanced Engineering and Management (IRJAEM),1,0,0.0,0.0
International Research in Medical and Health Science,1,0,0.0,0.0
International journal of business & economic development.,1,0,0.0,0.0
International journal of business management and economic review,1,0,0.0,0.0
International journal of collaborative research on internal medicine & public health,1,0,0.0,0.0
International journal of economic development,1,0,0.0,0.0
International journal of economics and business management,1,0,0.0,0.0
International journal of innovation and applied studies,1,0,0.0,0.0
International journal of research in medical and clinical science.,1,0,0.0,0.0
JCO Global Oncology,1,0,0.0,0.0
JCR Journal of Clinical Rheumatology,1,0,0.0,0.0
JIMS8M The Journal of Indian Management & Strategy,1,0,0.0,0.0
JOURNAL OF ADVANCE AND FUTURE RESEARCH,1,0,0.0,0.0
JOURNAL OF BUSINESS AND AFRICAN ECONOMY,1,0,0.0,0.0
JOURNAL OF PUBLIC ADMINISTRATION AND SOCIAL WELFARE RESEARCH,1,0,0.0,0.0
JOURNAL of QASSIM UNIVERSITY FOR SCIENCE,1,0,0.0,0.0
JUNCO | Journal of UNiversities and international development COoperation,1,0,0.0,0.0
JURNAL PENDIDIKAN ILMU SOSIAL,1,0,0.0,0.0
JURNAL REFORMA,1,0,0.0,0.0
Jindal Journal of Public Policy,1,0,0.0,0.0
Journal Of The Postgraduate  Institute of Medicine,1,0,0.0,0.0
Journal for Research in Applied Sciences and Biotechnology,1,0,0.0,0.0
"Journal of Actuarial, Finance, and Risk Management.",1,0,0.0,0.0
Journal of Acute Care,1,0,0.0,0.0
Journal of Advances in Developmental Research,1,0,0.0,0.0
Journal of African Sustainable Development,1,0,0.0,0.0
Journal of Arid Zone Economy,1,0,0.0,0.0
Journal of Asian Development Studies,1,0,0.0,0.0
Journal of Ayub Medical College Abbottabad,1,0,0.0,0.0
Journal of Ayurveda and Integrative Medicine,1,0,0.0,0.0
Journal of Banking & Financial Services,1,0,0.0,0.0
Journal of Behavioral Economics and Policy,1,0,0.0,0.0
Journal of Biology Agriculture and Healthcare,1,0,0.0,0.0
Journal of Biomedical Engineering and Medical Imaging,1,0,0.0,0.0
Journal of Business Analytics and Data Visualization,1,0,0.0,0.0
Journal of Business and Economics,1,0,0.0,0.0
Journal of Business and Enterprise Development (JOBED),1,0,0.0,0.0
Journal of Chitwan Medical College,1,0,0.0,0.0
Journal of Clinical Oncology,1,0,0.0,0.0
Journal of Clinical Research and Case Studies,1,0,0.0,0.0
Journal of Clinical and Nursing Research,1,0,0.0,0.0
Journal of Complementary and Alternative Medical Research,1,0,0.0,0.0
Journal of Contemporary African Legal Studies,1,0,0.0,0.0
Journal of Dhaka International University,1,0,0.0,0.0
