period,publications,first_known_n,first_target_share,corr_known_n,corr_target_share,international_collaboration_share
1990-2004,193.0,123.0,0.5121951219512195,80.0,0.425,0.17616580310880828
2005-2010,347.0,229.0,0.5720524017467249,132.0,0.4696969696969697,0.276657060518732
2011-2015,887.0,529.0,0.6408317580340265,353.0,0.6005665722379604,0.27959413754227735
2016-2020,1394.0,1015.0,0.6738916256157635,730.0,0.6109589041095891,0.3048780487804878
2021-2026,2420.0,2044.0,0.7832681017612525,1355.0,0.7490774907749077,0.3359504132231405
