outcome,n,OR_per_decade,CI_low,CI_high,p_value,corpus
Target-country first authorship,4453,1.876070545561961,1.6907671495510788,2.0816826804682513,1.957217629770274e-32,Primary
Target-country corresponding authorship,3012,2.0729221439419856,1.8202952608980645,2.3606094610854824,4.093281764172204e-28,Primary
Target-country first authorship,3940,1.8639563634000726,1.66641214687781,2.0849183865882965,1.2242406778514158e-27,Strict title-term sensitivity
Target-country corresponding authorship,2650,2.0019937819032156,1.7408194500721803,2.302351977175437,2.185493480823207e-22,Strict title-term sensitivity
