theme,papers,share
Insurance/prepayment,3983,0.6753136656493727
Financial protection/OOP,1761,0.29857578840284843
User fees/cost sharing,491,0.08324855883350288
Revenue/public financing,435,0.07375381485249237
Performance-based financing,342,0.05798575788402848
Willingness to pay,205,0.03475754493048491
Purchasing/provider payment,155,0.02628009494743981
Pooling,78,0.013224821973550356
External financing,61,0.010342488979315022
