ref1,ref2,cocitations
W2115011764,W2150517994,18
W2061316418,W2116542195,18
W2125849337,W2601005047,18
W2116975872,W2196182430,18
W2140155984,W2516915067,17
W1981075066,W2795223612,17
W2140155984,W2795223612,17
W2116542195,W2124360428,17
W2125849337,W4252307431,17
W2096969338,W2137321576,17
W2004745343,W2016834351,17
W2031976398,W2170964814,17
W2019013274,W2116542195,17
W2115011764,W2153025271,17
W2112093136,W2153025271,17
W2031976398,W2153603229,17
W2041725211,W2125849337,17
W2124360428,W2140155984,17
W2109725907,W2119775317,17
W2119775317,W2137321576,16
W2115011764,W2116542195,16
W1997866269,W2115011764,16
W2031976398,W2126583499,16
W2140155984,W2149691825,16
W2016834351,W2019013274,16
W1981075066,W2119775317,16
W2096969338,W2140155984,16
W2096969338,W2150517994,16
W2061316418,W2114027117,16
W2149849126,W2585592226,16
W2125849337,W2585592226,16
W2772759979,W3123188741,16
W2137321576,W2801838590,16
W1841733224,W2109725907,16
W2004804433,W2108970446,16
W2115011764,W2124360428,16
W2004745343,W2132441191,16
W2019013274,W2140155984,16
W2004745343,W2196182430,16
W2016834351,W2096969338,16
W2016834351,W2125849337,16
W1997866269,W2126583499,16
W2041725211,W2116542195,16
W2132666096,W2161933266,15
W1997866269,W2170964814,15
W2004804433,W2153025271,15
W2102858050,W2115011764,15
W1981075066,W2016834351,15
W2004745343,W2119775317,15
W2117812349,W2140155984,15
W1841733224,W2126583499,15
W2109725907,W3123188741,15
W2124360428,W2516915067,15
W2119775317,W2772759979,15
W2124360428,W2196182430,15
W2061316418,W2132441191,15
W2119775317,W2196182430,15
W1841733224,W2772759979,15
W2114027117,W2132666096,15
W2119775317,W2142114494,15
W2044203638,W3123188741,15
W2044203638,W2772759979,15
W2096969338,W2126583499,15
W1997866269,W2140155984,14
W2112093136,W2170964814,14
W2096969338,W2102858050,14
W2112093136,W2114027117,14
W2116542195,W2142114494,14
W2109725907,W2152846959,14
W2168477744,W2196182430,14
W2108970446,W2119775317,14
W2108970446,W2142114494,14
W2041725211,W2170964814,14
W2108970446,W2114027117,14
W2016834351,W2116542195,14
W2132441191,W2149691825,14
W2031976398,W2119775317,14
W2006696925,W2119775317,14
W2044203638,W2137321576,14
W2152846959,W2601005047,14
W2006696925,W2124360428,14
W2004745343,W2140155984,14
W2061316418,W2096969338,13
W2096969338,W2109725907,13
W1997866269,W2109725907,13
W2110203502,W2125849337,13
W2115011764,W2126583499,13
W1997866269,W2153603229,13
W2125849337,W2140155984,13
W2112093136,W2161933266,13
W2140155984,W2196182430,13
W2114027117,W2115011764,13
W2114027117,W2140155984,13
W2109725907,W2772759979,13
W2006696925,W2112093136,13
W2108970446,W2124360428,13
W2102858050,W2119775317,13
W2601005047,W2772759979,13
W2125849337,W2142114494,13
W2132441191,W2153025271,13
